pincode,area_sqkm,centroid_lat,centroid_lon,min_lat,min_lon,max_lat,max_lon,n_parts
276405,78.9464,26.061426,83.396077,26.014928,83.321103,26.110588,83.451802,1
625529,69.1296,9.910621,77.860693,9.854287,77.809780,9.956646,77.915082,1
673316,6.987,11.688051,75.582209,11.674115,75.562569,11.700713,75.605072,1
276406,93.07,26.032847,83.266016,25.988071,83.202669,26.087780,83.357716,1
393135,226.6861,21.552574,73.165191,21.481886,73.055557,21.613455,73.312710,1
523182,124.8751,15.510377,80.146700,15.459968,80.058521,15.556088,80.231919,1
825108,465.0506,24.029512,86.222059,23.911497,86.049450,24.167813,86.355325,1
523183,92.0141,15.630961,80.092427,15.548285,80.040808,15.683175,80.145736,1
493229,327.8381,21.444252,82.169410,21.358438,81.991402,21.511059,82.326143,1
523184,18.418,15.699863,80.267328,15.677598,80.240790,15.729108,80.294474,1
523185,52.2769,15.778035,80.244494,15.733343,80.211137,15.832222,80.285977,1
493331,83.9254,21.696562,82.068844,21.627330,82.021031,21.744431,82.141156,1
721439,142.5656,22.034086,87.534271,21.973637,87.462688,22.091872,87.619703,1
277121,67.2508,25.841772,84.023551,25.797041,83.972931,25.888514,84.072819,1
523186,161.761,15.667342,80.177278,15.583977,80.094794,15.762714,80.278022,1
523187,44.4953,15.743852,80.294630,15.700678,80.256515,15.795390,80.332612,1
523190,99.8715,15.896141,80.177056,15.840370,80.107285,15.941485,80.239814,1
523201,248.0034,15.844685,79.941396,15.750346,79.833019,15.927593,80.032733,1
523211,176.1764,15.610602,80.005341,15.532283,79.945916,15.706954,80.077408,1
625530,84.8971,9.903393,77.281093,9.869590,77.213951,9.952421,77.363749,1
523212,197.2837,15.723935,80.036496,15.662552,79.951155,15.787855,80.131513,1
523213,39.3771,15.787187,80.066526,15.756806,80.011760,15.820834,80.111383,1
523214,64.8427,15.792094,80.119490,15.733562,80.067863,15.836272,80.155284,1
847102,71.0664,26.455330,85.803747,26.390399,85.754707,26.517518,85.846160,1
523223,182.6573,15.294474,79.358280,15.216305,79.249490,15.372751,79.451672,1
741165,136.4311,23.902376,88.545914,23.841787,88.459618,23.954592,88.635782,1
847225,144.1276,26.576952,86.024367,26.493237,85.958951,26.666441,86.087548,1
581321,23.8684,14.689178,74.291991,14.657381,74.251591,14.717048,74.318783,1
382308,217.4595,23.093342,72.919437,23.007504,72.810402,23.171830,73.030983,1
796190,490.0518,23.435648,92.722475,23.286575,92.627629,23.581464,92.825820,1
676121,53.5905,11.115709,76.130704,11.087659,76.070006,11.155969,76.192725,1
796310,1189.2672,23.519527,93.141763,23.314862,93.001082,23.775327,93.289788,1
502318,47.5175,17.679082,77.665010,17.631156,77.636068,17.739908,77.717785,1
494229,399.9806,19.715574,81.685632,19.595974,81.563034,19.826175,81.809631,1
793022,14.0408,25.633790,91.928475,25.612805,91.907370,25.656312,91.944849,1
814120,306.8385,24.438889,86.917476,24.313938,86.794771,24.522485,87.020287,1
494333,388.8174,20.426305,81.642767,20.341181,81.534145,20.518316,81.771599,1
796320,671.9662,23.150056,93.255299,23.001511,93.138213,23.312638,93.387741,1
796691,272.0008,23.161285,92.794972,23.061514,92.704023,23.245531,92.879833,1
695609,38.6035,8.754577,76.986032,8.723724,76.934476,8.785172,77.022446,1
695611,15.3145,8.736022,76.790719,8.712254,76.771109,8.763182,76.812720,1
625533,32.3276,9.808848,77.332033,9.772897,77.243991,9.844556,77.357472,1
523224,315.1568,15.347135,79.250519,15.243466,79.164409,15.491736,79.387528,1
302016,15.492,26.940556,75.797552,26.920387,75.775067,26.960426,75.819341,1
313334,321.0872,25.156006,73.811839,25.025122,73.725717,25.273172,73.917315,1
313338,25.7973,25.055416,73.946128,25.026728,73.913037,25.082868,73.980447,1
313341,158.1194,25.624811,73.935934,25.553068,73.857711,25.685211,74.015354,1
678011,0.9722,10.800112,76.658245,10.795804,76.649948,10.804223,76.664199,1
313342,70.365,25.007159,73.954344,24.956137,73.887912,25.046848,74.015469,1
494337,395.0261,20.447577,81.339748,20.339404,81.218217,20.555664,81.469043,1
678508,459.7521,10.462235,76.685745,10.334706,76.570439,10.623616,76.851738,1
277123,103.867,25.896160,84.053824,25.849874,83.965755,25.928259,84.156395,1
680562,18.7361,10.428164,76.220636,10.403334,76.192693,10.459300,76.244049,1
